temp_subject,cage_num,sex
1,C00026486,M
2,C00026486,M
3,C00026487,M
4,C00026487,M
5,C00026488,M
6,C00026488,M
7,C00026489,M
8,C00026489,M
9,C00026490,M
10,C00026490,M
11,C00026491,M
12,C00026491,M
13,C00026492,M
14,C00026492,M
15,C00026493,M
16,C00026493,M
17,C00026495,F
18,C00026495,F
19,C00026496,F
20,C00026496,F
21,C00026497,F
22,C00026497,F
23,C00026498,F
24,C00026498,F
25,C00026499,F
26,C00026499,F
27,C00026500,F
28,C00026500,F
29,C00026501,F
30,C00026501,F
31,C00026502,F
32,C00026502,F